S no.,Name,Link,Year,Directors,Actors,IMDB rating
1,Everything Everywhere All at Once,https://www.imdb.com/title/tt6710474/,2022,Daniel Kwan ,"Michelle Yeoh, Stephanie Hsu",7.9
2,Scream VI,https://www.imdb.com/title/tt17663992/,2023,Matt Bettinelli-Olpin ,"Courteney Cox, Melissa Barrera",7.2
3,The Whale,https://www.imdb.com/title/tt13833688/,2022,Darren Aronofsky ,"Brendan Fraser, Sadie Sink",7.8
4,Luther: The Fallen Sun,https://www.imdb.com/title/tt3155298/,2023,Jamie Payne ,"Idris Elba, Cynthia Erivo",6.4
5,The Little Mermaid,https://www.imdb.com/title/tt5971474/,2023,Rob Marshall ,"Halle Bailey, Jonah Hauer-King",NA
6,Cocaine Bear,https://www.imdb.com/title/tt14209916/,2023,Elizabeth Banks ,"Keri Russell, Alden Ehrenreich",6.1
7,Shazam! Fury of the Gods,https://www.imdb.com/title/tt10151854/,2023,David F. Sandberg ,"Zachary Levi, Asher Angel",6.6
8,Im Westen nichts Neues,https://www.imdb.com/title/tt1016150/,2022,Edward Berger ,"Felix Kammerer, Albrecht Schuch",7.8
9,The Banshees of Inisherin,https://www.imdb.com/title/tt11813216/,2022,Martin McDonagh ,"Colin Farrell, Brendan Gleeson",7.7
10,Triangle of Sadness,https://www.imdb.com/title/tt7322224/,2022,Ruben Östlund ,"Thobias Thorwid, Harris Dickinson",7.4
11,65,https://www.imdb.com/title/tt12261776/,2023,Scott Beck ,"Adam Driver, Ariana Greenblatt",5.6
12,Creed III,https://www.imdb.com/title/tt11145118/,2023,Michael B. Jordan ,"Michael B. Jordan, Tessa Thompson",7.3
13,John Wick: Chapter 4,https://www.imdb.com/title/tt10366206/,2023,Chad Stahelski ,"Keanu Reeves, Laurence Fishburne",8.5
14,Women Talking,https://www.imdb.com/title/tt13669038/,2022,Sarah Polley ,"Rooney Mara, Claire Foy",7.0
15,Tár,https://www.imdb.com/title/tt14444726/,2022,Todd Field ,"Cate Blanchett, Noémie Merlant",7.5
16,Puss in Boots: The Last Wish,https://www.imdb.com/title/tt3915174/,2022,Joel Crawford ,"Antonio Banderas, Salma Hayek",7.9
17,Babylon,https://www.imdb.com/title/tt10640346/,2022,Damien Chazelle ,"Brad Pitt, Margot Robbie",7.2
18,The Fabelmans,https://www.imdb.com/title/tt14208870/,2022,Steven Spielberg ,"Michelle Williams, Gabriel LaBelle",7.6
19,Operation Fortune: Ruse de Guerre,https://www.imdb.com/title/tt7985704/,2023,Guy Ritchie ,"Jason Statham, Aubrey Plaza",6.4
20,Scream,https://www.imdb.com/title/tt11245972/,2022,Matt Bettinelli-Olpin ,"Neve Campbell, Courteney Cox",6.3
21,Avatar: The Way of Water,https://www.imdb.com/title/tt1630029/,2022,James Cameron ,"Sam Worthington, Zoe Saldana",7.8
22,Encino Man,https://www.imdb.com/title/tt0104187/,1992,Les Mayfield ,"Sean Astin, Brendan Fraser",5.8
23,A Man Called Otto,https://www.imdb.com/title/tt7405458/,2022,Marc Forster ,"Tom Hanks, Mariana Treviño",7.4
24,Dungeons & Dragons: Honor Among Thieves,https://www.imdb.com/title/tt2906216/,2023,John Francis Daley ,"Chris Pine, Michelle Rodriguez",7.6
25,Top Gun: Maverick,https://www.imdb.com/title/tt1745960/,2022,Joseph Kosinski ,"Tom Cruise, Jennifer Connelly",8.3
26,The Goonies,https://www.imdb.com/title/tt0089218/,1985,Richard Donner ,"Sean Astin, Josh Brolin",7.7
27,Ant-Man and the Wasp: Quantumania,https://www.imdb.com/title/tt10954600/,2023,Peyton Reed ,"Paul Rudd, Evangeline Lilly",6.4
28,RRR (Rise Roar Revolt),https://www.imdb.com/title/tt8178634/,2022,S.S. Rajamouli ,"N.T. Rama Rao Jr., Ram Charan",7.9
29,Boston Strangler,https://www.imdb.com/title/tt2560078/,2023,Matt Ruskin ,"Keira Knightley, Carrie Coon",6.5
30,Fall,https://www.imdb.com/title/tt15325794/,2022,Scott Mann ,"Grace Caroline Currey, Virginia Gardner",6.4
31,Elvis,https://www.imdb.com/title/tt3704428/,2022,Baz Luhrmann ,"Tom Hanks, Austin Butler",7.3
32,The Unbearable Weight of Massive Talent,https://www.imdb.com/title/tt11291274/,2022,Tom Gormican ,"Nicolas Cage, Pedro Pascal",7.0
33,Aftersun,https://www.imdb.com/title/tt19770238/,2022,Charlotte Wells ,"Paul Mescal, Frankie Corio",7.7
34,The Super Mario Bros. Movie,https://www.imdb.com/title/tt6718170/,2023,Aaron Horvath ,"Chris Pratt, Anya Taylor-Joy",NA
35,The Menu,https://www.imdb.com/title/tt9764362/,2022,Mark Mylod ,"Ralph Fiennes, Anya Taylor-Joy",7.2
36,Black Panther: Wakanda Forever,https://www.imdb.com/title/tt9114286/,2022,Ryan Coogler ,"Letitia Wright, Lupita Nyong'o",6.7
37,Missing,https://www.imdb.com/title/tt10855768/,2023,Nicholas D. Johnson ,"Tim Griffin, Ava Zaria Lee",7.2
38,X,https://www.imdb.com/title/tt13560574/,2022,Ti West ,"Mia Goth, Jenna Ortega",6.6
39,Bullet Train,https://www.imdb.com/title/tt12593682/,2022,David Leitch ,"Brad Pitt, Joey King",7.3
40,Indiana Jones and the Temple of Doom,https://www.imdb.com/title/tt0087469/,1984,Steven Spielberg ,"Harrison Ford, Kate Capshaw",7.5
41,Scream,https://www.imdb.com/title/tt0117571/,1996,Wes Craven ,"Neve Campbell, Courteney Cox",7.4
42,Champions,https://www.imdb.com/title/tt15339570/,2023,Bobby Farrelly ,"Woody Harrelson, Kaitlin Olson",7.1
43,Shazam!,https://www.imdb.com/title/tt0448115/,2019,David F. Sandberg ,"Zachary Levi, Mark Strong",7.0
44,An Irish Goodbye,https://www.imdb.com/title/tt14625872/,2022,Tom Berkeley ,"Seamus O'Hara, James Martin",7.2
45,Glass Onion,https://www.imdb.com/title/tt11564570/,2022,Rian Johnson ,"Daniel Craig, Edward Norton",7.2
46,Faraway,https://www.imdb.com/title/tt18747542/,2023,Vanessa Jopp ,"Naomi Krauss, Goran Bogdan",6.7
47,John Wick,https://www.imdb.com/title/tt2911666/,2014,Chad Stahelski ,"Keanu Reeves, Michael Nyqvist",7.4
